Ljava/util/zip/ZipException;-><init>
Landroid/widget/ArrayAdapter;->add
Landroid/view/ViewGroup;->scrollTo
Landroid/graphics/Paint;->getTextSize
Landroid/graphics/SweepGradient;-><init>
Landroid/graphics/Paint;->setSubpixelText
Landroid/graphics/Paint;->setLinearText
Landroid/os/Message;-><init>
Landroid/text/style/UnderlineSpan;-><init>
Ljava/io/RandomAccessFile;->getFilePointer
Lorg/apache/http/HeaderElement;->getName
Ljava/io/BufferedWriter;->flush
Landroid/telephony/TelephonyManager;->getDeviceId
Landroid/database/sqlite/SQLiteDatabase;->openOrCreateDatabase
Landroid/widget/ProgressBar;->setProgress
Landroid/widget/RadioButton;->setChecked
Landroid/webkit/WebSettings;->setCacheMode
Landroid/webkit/WebView;->setScrollBarStyle
Landroid/text/ClipboardManager;->setText
Landroid/support/v4/view/ViewPager;->setAdapter
Landroid/support/v4/view/ViewPager;->setOffscreenPageLimit
Landroid/support/v4/app/FragmentActivity;->finish
Landroid/preference/ListPreference;->setEntries
Landroid/preference/ListPreference;->setEntryValues
Lorg/apache/http/HttpRequest;->containsHeader
Lorg/apache/http/HttpRequest;->addHeader
Lorg/apache/http/HttpEntity;->getContentEncoding
Lorg/apache/http/Header;->getElements
Lorg/apache/http/HttpResponse;->setEntity
Lorg/apache/http/params/BasicHttpParams;-><init>
Lorg/apache/http/impl/client/DefaultHttpClient;->addRequestInterceptor
Lorg/apache/http/impl/client/DefaultHttpClient;->addResponseInterceptor
Lorg/apache/http/util/EntityUtils;->toString
Lorg/apache/http/message/BasicNameValuePair;-><init>
Lorg/apache/http/client/entity/UrlEncodedFormEntity;-><init>
Landroid/widget/RelativeLayout;->onWindowVisibilityChanged
Landroid/graphics/PointF;->set
Landroid/media/ExifInterface;->getAttribute
Ljava/io/DataOutputStream;->flush
Landroid/os/FileObserver;->startWatching
Landroid/os/FileObserver;->stopWatching
Landroid/content/Context;->getFileStreamPath
Landroid/widget/EditText;->setFocusable
Landroid/widget/Button;->getId
Landroid/view/Window;->setType
Ljavax/crypto/CipherInputStream;-><init>
Ljavax/crypto/CipherInputStream;->read
Landroid/widget/Button;->setEnabled
Landroid/database/Cursor;->getColumnName
Landroid/database/Cursor;->getFloat
Landroid/app/TabActivity;-><init>
Landroid/app/TabActivity;->onCreate
Landroid/app/TabActivity;->onDestroy
Landroid/graphics/PointF;->offset
Landroid/net/NetworkInfo;->isAvailable
Ljava/lang/Math;->atan
Landroid/graphics/Paint;->setFakeBoldText
Landroid/telephony/TelephonyManager;->getSimOperatorName
Lorg/json/JSONTokener;-><init>
Lorg/json/JSONTokener;->nextValue
Lorg/w3c/dom/Node;->getAttributes
